id;nombre;nif;calle;telefono;provincia;poblacion
1;ugh gosh aha;sustenance transcend for;councilman;like plus;soggy outlandish;afore
2;sting prance pine;helpfully;athwart;bah soon;summary;jeopardise mmm
3;including brr who;nor;ouch;flimsy sentimental pish;inquisitively evenly reluctantly;barring
4;puritan;that versus;minority delicious grumpy;flickering filthy from;fooey;lest wilderness cop
5;with righteously airline;knickers upon yahoo;inventory joyful;instead;brr;commandeer blissfully knowingly
6;consequently angle;though;decryption;against before gosh;down tomography;scented beneath sell
7;spook;eek eek bewail;yet;orchid uh-huh scheme;whopping;dense
8;antique vacantly;unimportant annually mob;yahoo wherever;affiliate wordy;compassionate;huzzah
9;joyously whoa vulgarise;warmly;equally acquire;than by;tenderly;vacantly
10;perspire;brr mothball gently;considering;quart vague;thoroughly;hmph
