id;nombre;descripcion;precio;stock;unidad_medida
1;scent arrogantly thick;usefully larva chip;2130;31241;PAQUETE
2;ick plastic cross;bowed furlough shakily;26692;24571;PALE
3;fluff;likewise so sometimes;21429;23812;KG
4;merrily manipulate;amongst meadow;23401;20568;PALE
5;tenderly vibrant circa;yippee;16384;29150;PAQUETE
6;sans annually hmph;where however furthermore;20777;18778;LITROS
7;less aw;pro powerful;8827;2629;PIEZA
8;gadzooks climb;waltz arrogantly;10739;6288;KG
9;gee stunt into;hippodrome;13767;11879;LITROS
10;excepting comestible;shoulder;13789;11527;LITROS
