id;nombre;direccion;fecha_inicio;fecha_fin;coste;estado;coste_pagado
1;under pish but;kiddingly best-seller;2025-01-20T23:13:08;2025-01-21T01:16:06;27086;TERMINADO;15279
2;gee numeric;precedent from;2025-01-21T09:19:36;2025-01-21T04:25:58;10520;TERMINADO;21699
3;psst unto;skeletal mid;2025-01-21T19:31:58;2025-01-21T20:01:34;26210;PARADO;16125
4;odd fake;incidentally;2025-01-21T03:30:30;2025-01-21T20:44:05;11942;PARADO;8773
5;while;by opposite;2025-01-21T13:45:53;2025-01-21T08:17:15;29362;TERMINADO;12392
6;vice boulevard reasonable;hoof;2025-01-21T01:39:48;2025-01-21T12:17:31;25497;PARADO;9078
7;untimely aching inscribe;instead;2025-01-21T03:25:27;2025-01-21T21:19:12;12451;INICIADO;7702
8;gah once;staid somber;2025-01-21T00:57:54;2025-01-20T22:52:05;30294;INICIADO;1021
9;yet;enrage hippodrome save;2025-01-21T18:55:37;2025-01-20T22:50:02;5563;TERMINADO;14663
10;gruesome;upbeat;2025-01-21T08:49:58;2025-01-21T20:36:21;28971;PARADO;363
